Timestamp,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle,,Data from log.data file (Request Time / Requested Resource)
20:49:41,all,8.72,0,21.62,0.43,0,0,0,0,0,69.23,,Timestamp: Tue Nov 25 20:50:50 2014 Data: kkxefieiwcpblqogemzqvytudajyimvipaugwbbhmeqkqkqamzvztcciqwoecshnuwtduciedfwfwafcberdwkxcucmcsupjxely 
20:49:42,all,7.67,0,22.49,1.19,0,0,0,0,0,68.65,,Timestamp: Tue Nov 25 20:50:53 2014 Data: vqjwkrysblwsddhszeroaknsnqvvdpbnxgwrnmdymnwuxoxloohfnelxymzufntqtqcrrzjutjuiifqumwxfgmspeukkpqeviimp 
20:49:43,all,10.28,0,22.31,5.64,0,0,0,0,0,61.77,,Timestamp: Tue Nov 25 20:50:56 2014 Data: udaasdxuysqwdptfpsskomxfsazabggiyhnbfhpffkfqtncboeywhetdrwrkywvpsprcjlldpeqnrwqqirucrgpnmfjnbdqkbigf 
20:49:44,all,6.22,0,21.78,3.28,0,0,0,0,0,68.71,,Timestamp: Tue Nov 25 20:50:59 2014 Data: zrlixztmyahwoctltceihtxachnbbqdspftyqztgsfrpwermraaqeitgkjvphdbqjppisivoxnofznekxzqsavsvzmhgvxrqyqvo 
20:49:45,all,8.06,0,20.8,11.96,0,0,0,0,0,59.19,,Timestamp: Tue Nov 25 20:51:02 2014 Data: bezmninsbfvzvsvbctisqpfmeauwctgohfivcrrmxbjbzcxhfmdrfitbcttmpuxodhwscfwutazmstbkfcffkuxxajofosbyuags 
20:49:46,all,8.63,0,21.57,18.46,0,0.09,0,0,0,51.25,,Timestamp: Tue Nov 25 20:51:05 2014 Data: tfaflznwaldgweoalmpvaiytjfdmacdbefsvosvfqwoxxmtqxytjbwittlnsznxesonyiroabbfhgziatoabcuqmdwkwvwcovdip 
20:49:47,all,8.01,0,21.24,14.71,0,0,0,0,0,56.05,,Timestamp: Tue Nov 25 20:51:07 2014 Data: zouqemhjmtpkkttcopjlcvgwwjonajvmayjragrjakqytzrpdxjwsvsiltjjdfwrxfcdgozefymgprdnlhzzhqgrihkrubfvtxnn 
20:49:48,all,9.39,0,22.91,11.97,0,0.17,0,0,0,55.56,,Timestamp: Tue Nov 25 20:51:10 2014 Data: maboqqjcztqvkdipbbklmkurrwpnluxzbmugjopmhojaydrkdnlimbnyyfjitqvwlqpijfejebudlxpbxxnvnhtuvfcknfjmbamu 
20:49:49,all,7.73,0,22.4,5.12,0,0.09,0,0,0,64.67,,Timestamp: Tue Nov 25 20:51:13 2014 Data: qeeogddmuruyplcxewkyjiqcphrdiztyschmsdrjxzzyndsxbddrwafnvqdeyfebsaztrlbdchrnxdndikuuupxpqmgppillwupc 
20:49:50,all,6.46,0,21.96,1.29,0,0,0,0,0,70.28,,Timestamp: Tue Nov 25 20:51:16 2014 Data: hmmhxjnaxumgirorgxqyyubtxvwfnuhxaztuwpddprpyzhzvpxjyedmintxeenwzxbuvpyrptupwacffpozurdcnwlaolrhtexai 
20:49:51,all,6.45,0,21.43,0,0,0,0,0,0,72.12,,Timestamp: Tue Nov 25 20:51:19 2014 Data: dzejszrfqjwofoupstlazghxmmrkmvoyczgyamfgcxdytrrhwbfvbzcxkpdalvfgxaihgvbgaybjkhsbyimzailrnnzxpdbjdhbn 
20:49:52,all,5.95,0,21.72,0.26,0,0,0,0,0,72.07,,Timestamp: Tue Nov 25 20:51:22 2014 Data: lixzldeaeztgqypebvmfeazexzzjtjqovpdbhkplkbnoucafqwioqopjqmqrrhqqrkmbhtmwqwjjdfkmthiorcivqifyznagfsdt 
